date,close,daily_return,log_return,roll_return_20d,roll_vol_20d,roll_vol_60d,roll_return_60d,drawdown
1985-01-31,96.71,-0.0016516981521628171,-0.0016530637094218288,0.006452284316786239,0.031945964079488166,,,-0.0038112896580140276
1985-02-01,96.68,-0.0003102057698272098,-0.0003102538935894633,0.0062447960033307215,0.03199090871109007,,,-0.004120313143798793
1985-02-06,96.7,0.00020686801820435363,0.0002068466239663473,0.006767308693388818,0.03190925807342887,,,-0.003914297486608986
1985-02-07,96.71,0.00010341261633906029,0.00010340726962306,0.005510501143688673,0.03169002196367206,,,-0.0038112896580140276
1985-02-08,99.05,0.024196050046530804,0.02390796341568804,0.028129541208220754,0.09072143910480761,,,0.0
1985-02-11,99.09,0.00040383644623931403,0.0004037549262480824,0.02854473738841601,0.09064988489292827,,,0.0
1985-02-12,99.1,0.00010091835704906238,0.00010091326513424322,0.028862126245847275,0.09058284755948112,,,0.0
1985-02-13,99.1,0.0,0.0,0.028862126245847275,0.09058284755948112,,,0.0
1985-02-14,98.99,-0.0011099899091826515,-0.0011106064042263036,0.028253869325854275,0.09077632900918836,,,-0.0011099899091826515
1985-02-15,99.19,0.0020204061016264596,0.0020183678261863963,0.03033135971746126,0.09064348226695676,,,0.0
1985-02-18,99.4,0.0021171489061397875,0.002114910904626034,0.03251272462864874,0.09048697819236551,,,0.0
1985-02-19,99.4,0.0,0.0,0.024319868095630692,0.08740650466604923,,,0.0
1985-02-20,99.58,0.0018108651911468154,0.00180922755150825,0.025751957148743232,0.08737683255806288,,,0.0
1985-02-21,99.71,0.0013054830287206887,0.0013046316266649492,0.02846828261990697,0.08682545384039671,,,0.0
1985-02-22,99.77,0.0006017450606758956,0.0006015640847141597,0.02951191827468791,0.08661613513562239,,,0.0
1985-02-25,100.44,0.006715445524706931,0.006692997363968588,0.038139534883721016,0.08770316463912886,,,0.0
1985-02-26,100.9,0.004579848665870356,0.004569393070179195,0.0430018606574325,0.08786846005518262,,,0.0
1985-02-27,101.4,0.0049554013875123815,0.004943163797519509,0.04838709677419373,0.08796468741953532,,,0.0
1985-02-28,101.48,0.0007889546351085297,0.0007886435739983844,0.04758955300918766,0.08810138729521905,,,0.0
