date,index_name,value
1985-01-02,All Share Price Index,96.09
1985-01-03,All Share Price Index,96.08
1985-01-04,All Share Price Index,96.05
1985-01-07,All Share Price Index,96.18
1985-01-08,All Share Price Index,96.34
1985-01-09,All Share Price Index,96.34
1985-01-10,All Share Price Index,96.32
1985-01-11,All Share Price Index,96.32
1985-01-15,All Share Price Index,96.27
1985-01-16,All Share Price Index,96.27
1985-01-17,All Share Price Index,96.27
1985-01-18,All Share Price Index,97.04
1985-01-21,All Share Price Index,97.08
1985-01-22,All Share Price Index,96.95
1985-01-23,All Share Price Index,96.91
1985-01-24,All Share Price Index,96.75
1985-01-25,All Share Price Index,96.74
1985-01-28,All Share Price Index,96.72
1985-01-29,All Share Price Index,96.87
1985-01-30,All Share Price Index,96.87
1985-01-31,All Share Price Index,96.71
1985-02-01,All Share Price Index,96.68
1985-02-06,All Share Price Index,96.7
1985-02-07,All Share Price Index,96.71
1985-02-08,All Share Price Index,99.05
1985-02-11,All Share Price Index,99.09
1985-02-12,All Share Price Index,99.1
1985-02-13,All Share Price Index,99.1
1985-02-14,All Share Price Index,98.99
1985-02-15,All Share Price Index,99.19
1985-02-18,All Share Price Index,99.4
1985-02-19,All Share Price Index,99.4
1985-02-20,All Share Price Index,99.58
1985-02-21,All Share Price Index,99.71
1985-02-22,All Share Price Index,99.77
1985-02-25,All Share Price Index,100.44
1985-02-26,All Share Price Index,100.9
1985-02-27,All Share Price Index,101.4
1985-02-28,All Share Price Index,101.48
1985-03-01,All Share Price Index,101.47
1985-03-04,All Share Price Index,101.56
1985-03-05,All Share Price Index,101.63
1985-03-07,All Share Price Index,101.53
1985-03-08,All Share Price Index,102.58
1985-03-11,All Share Price Index,103.05
1985-03-12,All Share Price Index,103.07
1985-03-13,All Share Price Index,103.18
1985-03-14,All Share Price Index,102.74
1985-03-15,All Share Price Index,102.88
1985-03-18,All Share Price Index,102.32
1985-03-19,All Share Price Index,103.9
1985-03-20,All Share Price Index,104.7
1985-03-21,All Share Price Index,106.37
1985-03-22,All Share Price Index,102.32
1985-03-25,All Share Price Index,103.52
1985-03-26,All Share Price Index,103.94
1985-03-27,All Share Price Index,104.11
1985-03-28,All Share Price Index,104.51
1985-03-29,All Share Price Index,105.04
1985-04-01,All Share Price Index,105.4
1985-04-02,All Share Price Index,105.98
1985-04-03,All Share Price Index,105.79
1985-04-08,All Share Price Index,105.69
1985-04-09,All Share Price Index,106.22
1985-04-10,All Share Price Index,106.28
1985-04-15,All Share Price Index,106.23
1985-04-16,All Share Price Index,106.23
1985-04-17,All Share Price Index,106.2
1985-04-18,All Share Price Index,113.3
1985-04-19,All Share Price Index,113.27
1985-04-22,All Share Price Index,113.27
1985-04-23,All Share Price Index,106.13
1985-04-24,All Share Price Index,105.74
1985-04-25,All Share Price Index,105.78
1985-04-26,All Share Price Index,105.34
1985-04-29,All Share Price Index,105.39
1985-04-30,All Share Price Index,105.98
1985-05-02,All Share Price Index,106.02
1985-05-03,All Share Price Index,106.11
1985-05-07,All Share Price Index,106.05
1985-05-08,All Share Price Index,105.83
1985-05-09,All Share Price Index,105.44
1985-05-10,All Share Price Index,104.73
1985-05-13,All Share Price Index,104.63
1985-05-14,All Share Price Index,104.59
1985-05-15,All Share Price Index,104.83
1985-05-16,All Share Price Index,104.68
1985-05-17,All Share Price Index,104.73
1985-05-20,All Share Price Index,104.48
1985-05-21,All Share Price Index,104.49
1985-05-23,All Share Price Index,104.39
1985-05-24,All Share Price Index,104.4
1985-05-27,All Share Price Index,104.39
1985-05-28,All Share Price Index,104.44
1985-05-29,All Share Price Index,104.08
1985-05-30,All Share Price Index,103.82
1985-05-31,All Share Price Index,103.5
1985-06-03,All Share Price Index,103.44
1985-06-04,All Share Price Index,103.11
1985-06-05,All Share Price Index,103.03
1985-06-06,All Share Price Index,103.36
1985-06-07,All Share Price Index,103.34
1985-06-10,All Share Price Index,103.26
1985-06-11,All Share Price Index,103.46
1985-06-12,All Share Price Index,103.58
1985-06-13,All Share Price Index,103.63
1985-06-14,All Share Price Index,103.19
1985-06-17,All Share Price Index,103.34
1985-06-18,All Share Price Index,103.35
1985-06-19,All Share Price Index,103.23
1985-06-20,All Share Price Index,103.23
1985-06-21,All Share Price Index,103.13
1985-06-24,All Share Price Index,102.68
1985-06-25,All Share Price Index,102.72
1985-06-26,All Share Price Index,102.4
1985-06-27,All Share Price Index,102.39
1985-06-28,All Share Price Index,102.4
1985-07-02,All Share Price Index,101.91
1985-07-03,All Share Price Index,101.66
1985-07-04,All Share Price Index,101.72
1985-07-05,All Share Price Index,101.52
1985-07-08,All Share Price Index,101.95
1985-07-09,All Share Price Index,102.12
1985-07-10,All Share Price Index,102.29
1985-07-11,All Share Price Index,102.41
1985-07-12,All Share Price Index,102.48
1985-07-15,All Share Price Index,102.58
1985-07-16,All Share Price Index,102.77
1985-07-17,All Share Price Index,102.75
1985-07-18,All Share Price Index,102.89
1985-07-19,All Share Price Index,103.12
1985-07-22,All Share Price Index,103.43
1985-07-23,All Share Price Index,103.41
1985-07-24,All Share Price Index,103.45
1985-07-25,All Share Price Index,103.65
1985-07-26,All Share Price Index,103.52
1985-07-29,All Share Price Index,103.61
1985-07-30,All Share Price Index,103.58
1985-08-01,All Share Price Index,103.57
1985-08-02,All Share Price Index,104.26
1985-08-05,All Share Price Index,104.51
1985-08-06,All Share Price Index,104.52
1985-08-07,All Share Price Index,104.61
1985-08-08,All Share Price Index,104.76
1985-08-09,All Share Price Index,104.74
1985-08-12,All Share Price Index,105.72
1985-08-13,All Share Price Index,106.15
1985-08-14,All Share Price Index,106.45
1985-08-15,All Share Price Index,106.61
1985-08-16,All Share Price Index,106.46
1985-08-19,All Share Price Index,106.49
1985-08-20,All Share Price Index,106.56
1985-08-21,All Share Price Index,106.93
1985-08-22,All Share Price Index,106.7
1985-08-23,All Share Price Index,106.98
1985-08-26,All Share Price Index,104.1
1985-08-27,All Share Price Index,104.08
1985-08-28,All Share Price Index,103.82
1985-08-30,All Share Price Index,104.01
1985-09-02,All Share Price Index,104.03
1985-09-03,All Share Price Index,104.41
1985-09-04,All Share Price Index,104.05
1985-09-05,All Share Price Index,104.1
1985-09-06,All Share Price Index,103.88
1985-09-09,All Share Price Index,104.03
1985-09-10,All Share Price Index,104.12
1985-09-11,All Share Price Index,104.1
1985-09-12,All Share Price Index,104.08
1985-09-13,All Share Price Index,104.08
1985-09-16,All Share Price Index,104.13
1985-09-17,All Share Price Index,104.13
1985-09-18,All Share Price Index,104.22
1985-09-19,All Share Price Index,104.31
1985-09-20,All Share Price Index,104.35
1985-09-23,All Share Price Index,104.24
1985-09-24,All Share Price Index,104.45
1985-09-25,All Share Price Index,104.52
1985-09-26,All Share Price Index,100.32
1985-09-27,All Share Price Index,100.48
1985-09-30,All Share Price Index,100.9
1985-10-01,All Share Price Index,100.93
1985-10-02,All Share Price Index,100.82
1985-10-03,All Share Price Index,101.15
1985-10-04,All Share Price Index,101.21
1985-10-07,All Share Price Index,101.24
1985-10-08,All Share Price Index,102.6
1985-10-09,All Share Price Index,102.35
1985-10-10,All Share Price Index,102.4
1985-10-11,All Share Price Index,102.54
1985-10-14,All Share Price Index,102.59
1985-10-15,All Share Price Index,102.52
1985-10-16,All Share Price Index,102.52
1985-10-17,All Share Price Index,102.5
1985-10-18,All Share Price Index,103.08
1985-10-21,All Share Price Index,103.53
1985-10-22,All Share Price Index,104.4
1985-10-23,All Share Price Index,105.45
1985-10-24,All Share Price Index,105.56
1985-10-25,All Share Price Index,105.68
1985-10-29,All Share Price Index,105.7
1985-10-30,All Share Price Index,105.81
1985-10-31,All Share Price Index,106.0
1985-11-01,All Share Price Index,106.22
1985-11-04,All Share Price Index,106.27
1985-11-05,All Share Price Index,106.29
1985-11-06,All Share Price Index,105.61
1985-11-07,All Share Price Index,105.85
1985-11-08,All Share Price Index,105.86
1985-11-11,All Share Price Index,105.97
1985-11-12,All Share Price Index,106.04
1985-11-13,All Share Price Index,106.08
1985-11-14,All Share Price Index,106.56
1985-11-15,All Share Price Index,106.61
1985-11-18,All Share Price Index,106.61
1985-11-19,All Share Price Index,106.82
1985-11-20,All Share Price Index,107.03
1985-11-21,All Share Price Index,107.71
1985-11-22,All Share Price Index,107.71
1985-11-26,All Share Price Index,108.52
1985-11-28,All Share Price Index,108.85
1985-11-29,All Share Price Index,108.69
1985-12-02,All Share Price Index,109.13
1985-12-03,All Share Price Index,110.0
1985-12-04,All Share Price Index,111.01
1985-12-05,All Share Price Index,113.72
1985-12-06,All Share Price Index,118.95
1985-12-09,All Share Price Index,126.66
1985-12-10,All Share Price Index,130.79
1985-12-11,All Share Price Index,131.89
1985-12-12,All Share Price Index,128.77
1985-12-13,All Share Price Index,125.45
1985-12-16,All Share Price Index,123.17
1985-12-17,All Share Price Index,123.52
1985-12-18,All Share Price Index,122.96
1985-12-19,All Share Price Index,122.92
1985-12-20,All Share Price Index,121.68
1985-12-30,All Share Price Index,121.51
1985-12-31,All Share Price Index,121.97
1986-01-02,All Share Price Index,122.04
1986-01-03,All Share Price Index,118.98
1986-01-06,All Share Price Index,119.07
1986-01-07,All Share Price Index,118.94
1986-01-08,All Share Price Index,118.5
1986-01-09,All Share Price Index,118.47
1986-01-10,All Share Price Index,118.14
1986-01-13,All Share Price Index,118.15
1986-01-15,All Share Price Index,117.79
1986-01-16,All Share Price Index,118.12
1986-01-17,All Share Price Index,118.62
1986-01-20,All Share Price Index,119.36
1986-01-21,All Share Price Index,119.99
1986-01-22,All Share Price Index,122.02
1986-01-23,All Share Price Index,123.49
1986-01-24,All Share Price Index,123.5
1986-01-27,All Share Price Index,124.63
1986-01-28,All Share Price Index,125.2
1986-01-29,All Share Price Index,125.23
1986-01-30,All Share Price Index,125.2
1986-01-31,All Share Price Index,126.08
1986-02-03,All Share Price Index,126.18
1986-02-05,All Share Price Index,126.82
1986-02-06,All Share Price Index,127.38
1986-02-07,All Share Price Index,127.43
1986-02-10,All Share Price Index,127.44
1986-02-11,All Share Price Index,127.5
1986-02-12,All Share Price Index,127.9
1986-02-13,All Share Price Index,128.33
1986-02-14,All Share Price Index,128.88
1986-02-17,All Share Price Index,129.1
1986-02-18,All Share Price Index,130.06
1986-02-19,All Share Price Index,130.32
1986-02-20,All Share Price Index,130.52
1986-02-21,All Share Price Index,130.53
1986-02-25,All Share Price Index,130.75
1986-02-26,All Share Price Index,130.85
1986-02-27,All Share Price Index,130.69
1986-02-28,All Share Price Index,131.11
1986-03-03,All Share Price Index,131.04
1986-03-04,All Share Price Index,130.7
1986-03-05,All Share Price Index,131.5
1986-03-06,All Share Price Index,131.69
1986-03-07,All Share Price Index,132.21
1986-03-10,All Share Price Index,132.04
1986-03-11,All Share Price Index,132.62
1986-03-12,All Share Price Index,132.43
1986-03-13,All Share Price Index,132.42
1986-03-14,All Share Price Index,132.5
1986-03-17,All Share Price Index,132.57
1986-03-18,All Share Price Index,132.8
1986-03-19,All Share Price Index,133.32
1986-03-20,All Share Price Index,132.99
1986-03-21,All Share Price Index,133.08
1986-03-24,All Share Price Index,132.8
1986-03-26,All Share Price Index,132.82
1986-03-27,All Share Price Index,132.93
1986-03-31,All Share Price Index,133.45
1986-04-01,All Share Price Index,135.78
1986-04-02,All Share Price Index,135.51
1986-04-03,All Share Price Index,135.64
1986-04-04,All Share Price Index,135.24
1986-04-07,All Share Price Index,135.67
1986-04-08,All Share Price Index,135.69
1986-04-09,All Share Price Index,135.6
1986-04-10,All Share Price Index,135.2
1986-04-11,All Share Price Index,136.06
1986-04-21,All Share Price Index,135.77
1986-04-22,All Share Price Index,136.18
1986-04-23,All Share Price Index,136.21
1986-04-25,All Share Price Index,135.6
1986-04-28,All Share Price Index,135.59
1986-04-29,All Share Price Index,135.42
1986-04-30,All Share Price Index,135.49
1986-05-02,All Share Price Index,135.32
1986-05-05,All Share Price Index,135.93
1986-05-06,All Share Price Index,135.98
1986-05-07,All Share Price Index,135.37
1986-05-08,All Share Price Index,135.2
1986-05-09,All Share Price Index,135.25
1986-05-12,All Share Price Index,134.5
1986-05-13,All Share Price Index,134.62
1986-05-14,All Share Price Index,134.72
1986-05-15,All Share Price Index,134.68
1986-05-16,All Share Price Index,134.92
1986-05-19,All Share Price Index,134.93
1986-05-20,All Share Price Index,134.97
1986-05-26,All Share Price Index,134.77
1986-05-27,All Share Price Index,135.01
1986-05-28,All Share Price Index,134.47
1986-05-29,All Share Price Index,134.36
1986-05-30,All Share Price Index,134.23
1986-06-02,All Share Price Index,134.24
1986-06-03,All Share Price Index,133.15
1986-06-04,All Share Price Index,132.3
1986-06-05,All Share Price Index,131.75
1986-06-06,All Share Price Index,131.22
1986-06-09,All Share Price Index,130.96
1986-06-10,All Share Price Index,130.86
1986-06-11,All Share Price Index,130.34
1986-06-12,All Share Price Index,129.9
1986-06-13,All Share Price Index,129.87
1986-06-16,All Share Price Index,129.45
1986-06-17,All Share Price Index,129.6
1986-06-18,All Share Price Index,129.15
1986-06-19,All Share Price Index,129.46
1986-06-20,All Share Price Index,128.67
1986-06-23,All Share Price Index,128.17
1986-06-24,All Share Price Index,128.57
1986-06-25,All Share Price Index,128.69
1986-06-26,All Share Price Index,127.21
1986-06-27,All Share Price Index,127.62
1986-06-30,All Share Price Index,129.21
1986-07-01,All Share Price Index,129.39
1986-07-02,All Share Price Index,129.43
1986-07-03,All Share Price Index,129.47
1986-07-04,All Share Price Index,129.63
1986-07-07,All Share Price Index,129.92
1986-07-08,All Share Price Index,130.0
1986-07-09,All Share Price Index,130.32
1986-07-10,All Share Price Index,131.23
1986-07-11,All Share Price Index,131.29
1986-07-14,All Share Price Index,131.66
1986-07-15,All Share Price Index,131.8
1986-07-16,All Share Price Index,131.34
1986-07-17,All Share Price Index,131.72
1986-07-18,All Share Price Index,132.12
1986-07-21,All Share Price Index,132.3
1986-07-22,All Share Price Index,132.33
1986-07-23,All Share Price Index,132.24
1986-07-24,All Share Price Index,132.5
1986-07-25,All Share Price Index,132.69
1986-07-28,All Share Price Index,133.71
1986-07-29,All Share Price Index,133.24
1986-07-30,All Share Price Index,133.3
1986-07-31,All Share Price Index,134.59
1986-08-01,All Share Price Index,135.79
1986-08-04,All Share Price Index,139.15
1986-08-05,All Share Price Index,140.5
1986-08-06,All Share Price Index,141.55
1986-08-07,All Share Price Index,142.22
1986-08-08,All Share Price Index,143.22
1986-08-11,All Share Price Index,144.29
1986-08-12,All Share Price Index,144.49
1986-08-13,All Share Price Index,144.3
1986-08-14,All Share Price Index,144.19
1986-08-15,All Share Price Index,144.32
1986-08-18,All Share Price Index,144.59
1986-08-20,All Share Price Index,145.61
1986-08-21,All Share Price Index,145.14
1986-08-22,All Share Price Index,144.72
1986-08-25,All Share Price Index,145.59
1986-08-26,All Share Price Index,145.68
1986-08-27,All Share Price Index,145.65
1986-08-28,All Share Price Index,145.07
1986-08-29,All Share Price Index,145.12
1986-09-01,All Share Price Index,144.91
1986-09-02,All Share Price Index,144.68
1986-09-03,All Share Price Index,144.75
1986-09-04,All Share Price Index,146.32
1986-09-05,All Share Price Index,146.08
1986-09-08,All Share Price Index,146.22
1986-09-09,All Share Price Index,147.32
1986-09-10,All Share Price Index,146.14
1986-09-11,All Share Price Index,146.24
1986-09-12,All Share Price Index,148.66
1986-09-15,All Share Price Index,148.7
1986-09-16,All Share Price Index,148.67
1986-09-18,All Share Price Index,148.91
1986-09-19,All Share Price Index,148.86
1986-09-22,All Share Price Index,149.33
1986-09-23,All Share Price Index,149.88
1986-09-24,All Share Price Index,150.6
1986-09-25,All Share Price Index,151.41
1986-09-26,All Share Price Index,149.98
1986-09-29,All Share Price Index,148.47
1986-09-30,All Share Price Index,149.32
1986-10-01,All Share Price Index,149.16
1986-10-02,All Share Price Index,148.81
1986-10-03,All Share Price Index,148.55
1986-10-06,All Share Price Index,148.53
1986-10-07,All Share Price Index,147.06
1986-10-08,All Share Price Index,146.67
1986-10-09,All Share Price Index,144.62
1986-10-10,All Share Price Index,144.33
1986-10-13,All Share Price Index,143.63
1986-10-14,All Share Price Index,143.28
1986-10-15,All Share Price Index,142.87
1986-10-16,All Share Price Index,142.55
1986-10-20,All Share Price Index,142.57
1986-10-21,All Share Price Index,142.09
1986-10-22,All Share Price Index,141.99
1986-10-23,All Share Price Index,141.63
1986-10-24,All Share Price Index,141.62
1986-10-27,All Share Price Index,142.14
1986-10-28,All Share Price Index,142.03
1986-10-29,All Share Price Index,142.26
1986-10-30,All Share Price Index,142.42
1986-10-31,All Share Price Index,142.12
1986-11-03,All Share Price Index,142.3
1986-11-04,All Share Price Index,141.49
1986-11-05,All Share Price Index,141.83
1986-11-06,All Share Price Index,141.8
1986-11-07,All Share Price Index,141.95
1986-11-10,All Share Price Index,141.96
1986-11-11,All Share Price Index,142.45
1986-11-12,All Share Price Index,142.25
1986-11-13,All Share Price Index,140.26
1986-11-17,All Share Price Index,139.6
1986-11-18,All Share Price Index,139.05
1986-11-19,All Share Price Index,140.44
1986-11-20,All Share Price Index,140.07
1986-11-21,All Share Price Index,140.55
1986-11-24,All Share Price Index,139.97
1986-11-25,All Share Price Index,139.72
1986-11-26,All Share Price Index,139.84
1986-11-27,All Share Price Index,139.94
1986-11-28,All Share Price Index,139.67
1986-12-01,All Share Price Index,140.09
1986-12-02,All Share Price Index,140.66
1986-12-03,All Share Price Index,140.8
1986-12-04,All Share Price Index,141.19
1986-12-05,All Share Price Index,141.21
1986-12-08,All Share Price Index,141.28
1986-12-09,All Share Price Index,141.2
1986-12-10,All Share Price Index,141.46
1986-12-11,All Share Price Index,141.42
1986-12-12,All Share Price Index,141.2
1986-12-16,All Share Price Index,141.25
1986-12-17,All Share Price Index,141.66
1986-12-18,All Share Price Index,140.91
1986-12-19,All Share Price Index,141.01
1986-12-22,All Share Price Index,140.98
1986-12-23,All Share Price Index,141.24
1987-01-02,All Share Price Index,141.28
1987-01-05,All Share Price Index,140.56
1987-01-06,All Share Price Index,140.68
1987-01-07,All Share Price Index,140.74
1987-01-08,All Share Price Index,140.94
1987-01-09,All Share Price Index,141.37
1987-01-12,All Share Price Index,141.54
1987-01-13,All Share Price Index,141.47
1987-01-15,All Share Price Index,141.0
1987-01-16,All Share Price Index,141.23
1987-01-19,All Share Price Index,141.77
1987-01-20,All Share Price Index,141.93
1987-01-21,All Share Price Index,142.29
1987-01-22,All Share Price Index,142.71
1987-01-23,All Share Price Index,143.33
1987-01-26,All Share Price Index,143.69
1987-01-27,All Share Price Index,146.17
1987-01-28,All Share Price Index,145.95
1987-01-29,All Share Price Index,145.77
1987-01-30,All Share Price Index,144.08
1987-02-02,All Share Price Index,144.11
1987-02-03,All Share Price Index,144.6
1987-02-05,All Share Price Index,145.1
1987-02-06,All Share Price Index,144.64
1987-02-09,All Share Price Index,146.73
1987-02-10,All Share Price Index,147.75
1987-02-11,All Share Price Index,147.95
1987-02-12,All Share Price Index,152.12
1987-02-16,All Share Price Index,153.96
1987-02-17,All Share Price Index,150.89
1987-02-18,All Share Price Index,150.93
1987-02-19,All Share Price Index,152.26
1987-02-20,All Share Price Index,153.48
1987-02-23,All Share Price Index,153.69
1987-02-24,All Share Price Index,153.25
1987-02-25,All Share Price Index,152.44
1987-02-26,All Share Price Index,152.28
1987-02-27,All Share Price Index,152.77
1987-03-02,All Share Price Index,153.32
1987-03-03,All Share Price Index,153.57
1987-03-04,All Share Price Index,153.35
1987-03-05,All Share Price Index,153.44
1987-03-06,All Share Price Index,146.92
1987-03-09,All Share Price Index,145.69
1987-03-10,All Share Price Index,146.13
1987-03-11,All Share Price Index,146.33
1987-03-12,All Share Price Index,146.38
1987-03-13,All Share Price Index,146.82
1987-03-16,All Share Price Index,146.72
1987-03-17,All Share Price Index,146.78
1987-03-18,All Share Price Index,146.79
1987-03-19,All Share Price Index,146.85
1987-03-20,All Share Price Index,147.39
1987-03-23,All Share Price Index,147.1
1987-03-24,All Share Price Index,147.13
1987-03-25,All Share Price Index,155.63
1987-03-26,All Share Price Index,155.73
1987-03-27,All Share Price Index,155.07
1987-03-30,All Share Price Index,154.59
1987-03-31,All Share Price Index,154.5
1987-04-01,All Share Price Index,154.36
1987-04-02,All Share Price Index,154.02
1987-04-03,All Share Price Index,153.96
1987-04-06,All Share Price Index,153.19
1987-04-07,All Share Price Index,153.33
1987-04-08,All Share Price Index,153.57
1987-04-09,All Share Price Index,153.77
1987-04-10,All Share Price Index,153.71
1987-04-20,All Share Price Index,154.9
1987-04-21,All Share Price Index,155.66
1987-04-24,All Share Price Index,155.6
1987-04-27,All Share Price Index,155.61
1987-04-28,All Share Price Index,156.26
1987-04-29,All Share Price Index,157.36
1987-04-30,All Share Price Index,157.23
1987-05-04,All Share Price Index,158.19
1987-05-05,All Share Price Index,158.71
1987-05-06,All Share Price Index,159.83
1987-05-07,All Share Price Index,160.61
1987-05-08,All Share Price Index,161.21
1987-05-11,All Share Price Index,160.5
1987-05-12,All Share Price Index,159.8
1987-05-15,All Share Price Index,160.18
1987-05-18,All Share Price Index,160.3
1987-05-19,All Share Price Index,160.36
1987-05-20,All Share Price Index,160.9
1987-05-21,All Share Price Index,161.59
1987-05-26,All Share Price Index,162.4
1987-05-27,All Share Price Index,162.41
1987-05-28,All Share Price Index,161.76
1987-05-29,All Share Price Index,161.74
1987-06-01,All Share Price Index,162.23
1987-06-02,All Share Price Index,162.5
1987-06-03,All Share Price Index,162.85
1987-06-04,All Share Price Index,162.64
1987-06-05,All Share Price Index,162.01
1987-06-08,All Share Price Index,162.11
1987-06-09,All Share Price Index,161.68
1987-06-10,All Share Price Index,161.34
1987-06-12,All Share Price Index,160.98
1987-06-15,All Share Price Index,161.4
1987-06-16,All Share Price Index,161.42
1987-06-17,All Share Price Index,161.55
1987-06-18,All Share Price Index,162.63
1987-06-19,All Share Price Index,163.23
1987-06-22,All Share Price Index,163.43
1987-06-23,All Share Price Index,163.24
1987-06-24,All Share Price Index,163.35
1987-06-25,All Share Price Index,162.82
1987-06-26,All Share Price Index,163.84
1987-06-29,All Share Price Index,163.66
1987-06-30,All Share Price Index,164.55
1987-07-01,All Share Price Index,163.85
1987-07-02,All Share Price Index,162.99
1987-07-03,All Share Price Index,162.76
1987-07-06,All Share Price Index,164.44
1987-07-07,All Share Price Index,164.57
1987-07-08,All Share Price Index,164.55
1987-07-09,All Share Price Index,165.69
1987-07-13,All Share Price Index,165.61
1987-07-14,All Share Price Index,165.3
1987-07-15,All Share Price Index,164.58
1987-07-16,All Share Price Index,164.31
1987-07-17,All Share Price Index,163.93
1987-07-20,All Share Price Index,163.43
1987-07-21,All Share Price Index,163.54
1987-07-22,All Share Price Index,163.46
1987-07-23,All Share Price Index,163.52
1987-07-24,All Share Price Index,165.36
1987-07-27,All Share Price Index,166.8
1987-07-28,All Share Price Index,167.68
1987-08-03,All Share Price Index,169.03
1987-08-04,All Share Price Index,169.16
1987-08-05,All Share Price Index,169.32
1987-08-06,All Share Price Index,169.37
1987-08-07,All Share Price Index,171.07
1987-08-10,All Share Price Index,174.45
1987-08-11,All Share Price Index,175.85
1987-08-12,All Share Price Index,176.99
1987-08-13,All Share Price Index,177.94
1987-08-14,All Share Price Index,178.82
1987-08-17,All Share Price Index,178.63
1987-08-18,All Share Price Index,178.12
1987-08-19,All Share Price Index,178.09
1987-08-20,All Share Price Index,179.87
1987-08-21,All Share Price Index,180.72
1987-08-24,All Share Price Index,181.09
1987-08-25,All Share Price Index,181.03
1987-08-26,All Share Price Index,181.69
1987-08-27,All Share Price Index,182.05
1987-08-28,All Share Price Index,181.75
1987-08-31,All Share Price Index,182.44
1987-09-01,All Share Price Index,182.63
1987-09-02,All Share Price Index,183.04
1987-09-03,All Share Price Index,184.35
1987-09-04,All Share Price Index,184.98
1987-09-08,All Share Price Index,184.11
1987-09-09,All Share Price Index,184.41
1987-09-10,All Share Price Index,185.21
1987-09-11,All Share Price Index,182.58
1987-09-14,All Share Price Index,183.74
1987-09-15,All Share Price Index,184.19
1987-09-16,All Share Price Index,184.77
1987-09-17,All Share Price Index,186.25
1987-09-18,All Share Price Index,187.44
1987-09-21,All Share Price Index,187.01
1987-09-22,All Share Price Index,188.74
1987-09-23,All Share Price Index,189.7
1987-09-24,All Share Price Index,191.84
1987-09-25,All Share Price Index,192.11
1987-09-28,All Share Price Index,191.45
1987-09-29,All Share Price Index,191.47
1987-09-30,All Share Price Index,194.32
1987-10-01,All Share Price Index,196.01
1987-10-02,All Share Price Index,200.51
1987-10-05,All Share Price Index,203.64
1987-10-07,All Share Price Index,203.9
1987-10-08,All Share Price Index,207.67
1987-10-09,All Share Price Index,212.55
1987-10-12,All Share Price Index,218.28
1987-10-13,All Share Price Index,217.0
1987-10-14,All Share Price Index,219.42
1987-10-15,All Share Price Index,219.99
1987-10-16,All Share Price Index,221.62
1987-10-19,All Share Price Index,218.35
1987-10-20,All Share Price Index,218.07
1987-10-21,All Share Price Index,219.23
1987-10-22,All Share Price Index,218.99
1987-10-23,All Share Price Index,219.69
1987-10-26,All Share Price Index,221.51
1987-10-27,All Share Price Index,222.18
1987-10-28,All Share Price Index,223.37
1987-10-29,All Share Price Index,223.31
1987-10-30,All Share Price Index,223.74
1987-11-02,All Share Price Index,223.05
1987-11-03,All Share Price Index,221.31
1987-11-04,All Share Price Index,222.22
1987-11-06,All Share Price Index,221.68
1987-11-09,All Share Price Index,219.8
1987-11-10,All Share Price Index,219.15
1987-11-11,All Share Price Index,218.1
1987-11-12,All Share Price Index,217.75
1987-11-13,All Share Price Index,217.31
1987-11-16,All Share Price Index,217.14
1987-11-17,All Share Price Index,217.74
1987-11-18,All Share Price Index,221.39
1987-11-19,All Share Price Index,224.0
1987-11-20,All Share Price Index,223.77
1987-11-23,All Share Price Index,223.91
1987-11-24,All Share Price Index,224.96
1987-11-25,All Share Price Index,224.42
1987-11-26,All Share Price Index,224.39
1987-11-27,All Share Price Index,224.18
1987-11-30,All Share Price Index,223.98
1987-12-01,All Share Price Index,223.84
1987-12-02,All Share Price Index,223.45
1987-12-03,All Share Price Index,222.17
1987-12-07,All Share Price Index,221.38
1987-12-08,All Share Price Index,221.44
1987-12-09,All Share Price Index,220.06
1987-12-10,All Share Price Index,220.44
1987-12-11,All Share Price Index,219.25
1987-12-14,All Share Price Index,218.37
1987-12-15,All Share Price Index,218.28
1987-12-16,All Share Price Index,218.37
1987-12-17,All Share Price Index,217.34
1987-12-18,All Share Price Index,217.94
1987-12-21,All Share Price Index,217.73
1987-12-22,All Share Price Index,218.76
1987-12-23,All Share Price Index,219.12
1988-01-04,All Share Price Index,219.22
1988-01-05,All Share Price Index,218.61
1988-01-06,All Share Price Index,217.66
1988-01-07,All Share Price Index,218.28
1988-01-08,All Share Price Index,216.38
1988-01-11,All Share Price Index,212.18
1988-01-12,All Share Price Index,211.61
1988-01-13,All Share Price Index,208.0
1988-01-14,All Share Price Index,206.08
1988-01-18,All Share Price Index,203.56
1988-01-19,All Share Price Index,199.63
1988-01-20,All Share Price Index,197.46
1988-01-21,All Share Price Index,197.63
1988-01-22,All Share Price Index,198.62
1988-01-25,All Share Price Index,199.96
1988-01-26,All Share Price Index,201.73
1988-01-27,All Share Price Index,203.57
1988-01-28,All Share Price Index,206.25
1988-01-29,All Share Price Index,205.22
1988-02-01,All Share Price Index,205.38
1988-02-03,All Share Price Index,205.6
1988-02-05,All Share Price Index,205.49
1988-02-08,All Share Price Index,206.64
1988-02-09,All Share Price Index,206.51
1988-02-10,All Share Price Index,204.87
1988-02-11,All Share Price Index,204.98
1988-02-12,All Share Price Index,207.69
1988-02-15,All Share Price Index,207.66
1988-02-16,All Share Price Index,207.0
1988-02-17,All Share Price Index,207.06
1988-02-18,All Share Price Index,205.84
1988-02-19,All Share Price Index,205.25
1988-02-22,All Share Price Index,204.57
1988-02-23,All Share Price Index,201.2
