ticker,security_type,company_name,indexed_price,indexed_quantity,market_cap
CALF,CALF.N0000,DIALOG FINANCE,93.7,117399866,11000367444.2
CALH,CALH.N0000,CAL HOLDINGS PLC,17.9,2072049345,37089683275.5
CALT,CALT.N0000,CALT,52.8,329417884,17393264275.2
CARE,CARE.N0000,PRINTCARE PLC,53.5,85966670,4599216845.0
CARG,CARG.N0000,CARGILLS,767.0,257677731,197638819677.0
CARS,CARS.N0000,CARSONS,755.0,196386914,148272120070.0
CBNK,CBNK.N0000,CARGILLS BANK,9.6,945642858,9078171436.8
CCS,CCS.N0000,COLD STORES,109.0,950400000,103593600000.0
CDB,CDB.N0000,CDB,382.5,61374456,23475729420.0
CERA,CERA.N0000,LANKA CERAMIC,170.25,6000000,1021500000.0
CFI,CFI.N0000,CFI,410.0,8853693,3630014130.0
CFIN,CFIN.N0000,CENTRAL FINANCE,268.0,227354462,60930995816.0
CFLB,CFLB.N0000,FORT LAND,80.0,240000000,19200000000.0
CFVF,CFVF.N0000,FIRST CAPITAL,62.1,405000000,25150500000.0
CHL,CHL.N0000,DURDANS,270.0,31762723,8575935210.0
CHMX,CHMX.N0000,CHEMANEX,167.25,16152353,2701481039.25
CHOT,CHOT.N0000,HOTELS CORP.,42.5,180030942,7651315035.0
CHOU,CHOU.N0000,CITY HOUSING,3.6,13379850,48167460.0
CIC,CIC.N0000,CIC,34.8,1458000000,50738400000.0
CIND,CIND.N0000,CENTRAL IND.,255.5,24195193,6181871811.5
CINS,CINS.N0000,CEYLINCO HOLD,3200.0,20000000,64000000000.0
CINV,CINV.N0000,CEYLON INV.,124.0,97200743,12052892132.0
CIT,CIT.N0000,CIT,477.75,7148780,3415329645.0
CITH,CITH.N0000,CITRUS HIKKADUWA,4.1,542663531,2224920477.1
CITW,CITW.N0000,CITRUS WASKADUWA,2.0,936683988,1873367976.0
CLND,CLND.N0000,COLOMBO LAND,46.5,199881008,9294466872.0
COCO,COCO.N0000,RENUKA FOODS,52.2,180005317,9396277547.4
COCR,COCR.N0000,COM.CREDIT,126.25,318074365,40156888581.25
COLO,COLO.N0000,C M HOLDINGS,55.0,152000000,8360000000.0
COMB,COMB.N0000,COMMERCIAL BANK,200.75,1539161949,308986761261.75
COMD,COMD.N0000,COMMERCIAL DEV.,278.0,12000000,3336000000.0
CONN,CONN.N0000,HAYLEYS LEISURE,39.3,107989958,4244005349.4
COOP,COOP.N0000,COOP INSURANCE,4.4,1652177600,7269581440.0
CPRT,CPRT.N0000,CEYLON PRINTERS,670.0,600170,402113900.0
CRL,CRL.N0000,SOFTLOGIC FIN,5.6,962573191,5390409869.6
CSD,CSD.N0000,SEYLAN DEVTS,30.1,139688298,4204617769.8
CSF,CSF.N0000,NATION LANKA,0.1,6996774035,699677403.5
CSLK,CSLK.N0000,CABLE SOLUTIONS,14.8,470666600,6965865680.0
CTBL,CTBL.N0000,CEYLON TEA BRKRS,8.9,182400000,1623360000.0
CTC,CTC.N0000,CEYLON TOBACCO,1725.5,187323751,323227132350.5
CTEA,CTEA.N0000,DILMAH CEYLON,1198.25,20737500,24848709375.0
CTHR,CTHR.N0000,C T HOLDINGS,670.0,201406978,134942675260.0
CTLD,CTLD.N0000,C T LAND,37.2,81250000,3022500000.0
CWL,CWL.N0000,CHRISSWORLD,12.8,30000000,384000000.0
CWM,CWM.N0000,C.W.MACKIE,151.25,35988556,5443269095.0
DFCC,DFCC.N0000,DFCC BANK PLC,148.0,438404250,64883829000.0
DIAL,DIAL.N0000,DIALOG,29.8,9200334994,274169982821.2
DIMO,DIMO.N0000,DIMO,2016.25,9231494,18612999777.5
DIPD,DIPD.N0000,DIPPED PRODUCTS,61.1,598615120,36575383832.0
DIST,DIST.N0000,DISTILLERIES,59.0,4600000000,271400000000.0
DOCK,DOCK.N0000,DOCKYARD,177.5,395224082,70152274555.0
DPL,DPL.N0000,DANKOTUWA PORCEL,17.2,162552920,2795910224.0
EAST,EAST.N0000,EAST WEST,68.9,138240000,9524736000.0
EBCR,EBCR.N0000,E B CREASY,64.8,278900380,18072744624.0
ECL,ECL.N0000,E - CHANNELLING,15.8,122131415,1929676357.0
EDEN,EDEN.N0000,EDEN HOTEL LANKA,13.6,1584000000,21542400000.0
ELPL,ELPL.N0000,ELPITIYA,164.0,72866428,11950094192.0
EMER,EMER.N0000,EASTERN MERCHANT,10.7,117446000,1256672200.0
EML,EML.N0000,EML CONSULTANTS,4.6,90900000,418140000.0
ETWO,ETWO.N0000,EQUITY TWO PLC,71.8,31000000,2225800000.0
EXT,EXT.N0000,EXTERMINATORS,7.0,52852459,369967213.0
FCT,FCT.N0000,FC TREASURIES,37.5,615600000,23085000000.0
GEST,GEST.N0000,GESTETNER,222.5,2657812,591363170.0
GHLL,GHLL.N0000,GALADARI,18.5,500829564,9265346934.0
GLAS,GLAS.N0000,PGP GLASS,54.9,950086080,52159725792.0
GRAN,GRAN.N0000,GRAIN ELEVATORS,400.0,60000000,24000000000.0
GREG,GREG.N0000,AMBEON HOLDINGS,154.5,356869666,55136363397.0
GUAR,GUAR.N0000,CEYLON GUARDIAN,265.0,80057991,21215367615.0
HAPU,HAPU.N0000,HAPUGASTENNE,53.0,46315789,2454736817.0
HARI,HARI.N0000,HARISCHANDRA,5090.25,1919600,9771243900.0
HASU,HASU.N0000,HNB ASSURANCE,114.75,150000000,17212500000.0
HAYC,HAYC.N0000,HAYCARB,106.75,297123750,31717960312.5
HAYL,HAYL.N0000,HAYLEYS,195.75,750000000,146812500000.0
HBS,HBS.N0000,hSENID BIZ,17.5,285254759,4991958282.5
HDFC,HDFC.N0000,HDFC,57.9,64710520,3746739108.0
HELA,HELA.N0000,HELA,3.1,1636746787,5073915039.7
HEXP,HEXP.N0000,HAYLEYS FIBRE,91.6,24000000,2198400000.0
HHL,HHL.N0000,HEMAS HOLDINGS,34.7,2993105150,103860748705.0
HNB,HNB.N0000,HNB,398.5,455968474,181703436889.0
HNBF,HNBF.N0000,HNB FINANCE,7.5,1717501587,12881261902.5
HOPL,HOPL.N0000,HORANA,52.7,25000000,1317500000.0
HPFL,HPFL.N0000,LOTUS HYDRO,13.8,109088112,1505415945.6
HPL,HPL.N0000,HATTON,25.9,236666671,6129666778.9
HPWR,HPWR.N0000,RESUS ENERGY,46.8,86184827,4033449903.6
HSIG,HSIG.N0000,HOTEL SIGIRIYA,100.0,17577000,1757700000.0
HUNA,HUNA.N0000,HUNAS HOLDINGS,20.3,849030000,17235309000.0
HUNT,HUNT.N0000,HUNTERS,1240.0,5145000,6379800000.0
HVA,HVA.N0000,HVA FOODS,3.4,244526188,831389039.2
INME,INME.N0000,INSUREME,1815.25,2055290,3730865172.5
JAT,JAT.N0000,JAT HOLDINGS,48.2,521725550,25147171510.0
JETS,JETS.N0000,JETWING SYMPHONY,20.1,602188559,12103990035.9
JFP,JFP.N0000,JF PACKAGING LTD,14.7,172130944,2530324876.8
JINS,JINS.N0000,JANASHAKTHI INS.,129.5,226526153,29335136813.5
JKH,JKH.N0000,JKH,21.7,17688350775,383837211817.5
JKL,JKL.N0000,JOHN KEELLS,85.0,60800000,5168000000.0
KAHA,KAHA.N0000,KAHAWATTE,20.6,99406691,2047777834.6
KCAB,KCAB.N0000,KELANI CABLES,127.25,218000000,27740500000.0
KDL,KDL.N0000,KELSEY,21.5,17429274,374729391.0
KFP,KFP.N0000,KEELLS FOOD,171.0,25500000,4360500000.0
KGAL,KGAL.N0000,KEGALLE,135.0,25000000,3375000000.0
KHC,KHC.N0000,KANDY HOTELS,18.6,754309253,14030152105.8
KHL,KHL.N0000,KEELLS HOTELS,22.9,1456146780,33345761262.0
KOTA,KOTA.N0000,KOTAGALA,10.1,423140625,4273720312.5
KPHL,KPHL.N0000,KAPRUKA,11.0,164130360,1805433960.0
KVAL,KVAL.N0000,KELANI VALLEY,92.0,68000000,6256000000.0
KZOO,KZOO.N0000,CEYLON LAND,11.0,307078367,3377862037.0
LALU,LALU.N0000,LANKA ALUMINIUM,48.9,68514115,3350340223.5
LAMB,LAMB.N0000,KOTMALE HOLDINGS,1326.75,31400000,41659950000.0
