date,transaction_type,investor_type,value
2001-11-01,net,Foreign Companies,-176556738.0
2001-12-01,net,Foreign Companies,-413437572.0
2002-01-01,net,Foreign Companies,-450338126.25
2002-02-01,net,Foreign Companies,-279180805.0
2002-03-01,net,Foreign Companies,-207270018.0
2002-04-01,net,Foreign Companies,252376544.0
2002-05-01,net,Foreign Companies,720565110.0
2002-06-01,net,Foreign Companies,691778155.0
2002-07-01,net,Foreign Companies,-86542398.0
2002-08-01,net,Foreign Companies,-473895253.0
2002-09-01,net,Foreign Companies,304423611.0
2002-10-01,net,Foreign Companies,36976805.0
2002-11-01,net,Foreign Companies,-315019605.0
2002-12-01,net,Foreign Companies,-53763171.0
2003-01-03,net,Foreign Companies,-36398890.0
2003-02-03,net,Foreign Companies,148097559.0
2003-03-03,net,Foreign Companies,57127588.0
2003-04-03,net,Foreign Companies,58242682.0
2003-05-03,net,Foreign Companies,656025451.0
2003-06-03,net,Foreign Companies,70726879.0
2003-07-03,net,Foreign Companies,347384862.0
2003-08-03,net,Foreign Companies,469999121.0
2003-09-03,net,Foreign Companies,-2938858761.0
2003-10-03,net,Foreign Companies,411469810.0
2003-11-03,net,Foreign Companies,459772435.0
2003-12-03,net,Foreign Companies,714142235.0
2004-01-03,net,Foreign Companies,286402734.0
2004-02-03,net,Foreign Companies,473482254.0
2004-03-03,net,Foreign Companies,-29351952.0
2004-04-03,net,Foreign Companies,-325140978.0
2004-05-03,net,Foreign Companies,-144441595.0
2004-06-03,net,Foreign Companies,440022879.0
2004-07-03,net,Foreign Companies,-374497944.0
2004-08-03,net,Foreign Companies,105187184.0
2004-09-03,net,Foreign Companies,71299038.0
2004-10-03,net,Foreign Companies,9865682.0
2004-11-03,net,Foreign Companies,384365127.0
2004-12-03,net,Foreign Companies,-180012524.0
2005-01-03,net,Foreign Companies,-378921389.0
2005-02-03,net,Foreign Companies,222222957.0
2005-03-03,net,Foreign Companies,598517213.0
2005-04-03,net,Foreign Companies,-694221894.0
2005-05-03,net,Foreign Companies,269999509.0
2005-06-03,net,Foreign Companies,545476759.0
2005-07-03,net,Foreign Companies,1422918763.0
2005-08-03,net,Foreign Companies,1352687232.25
2005-09-03,net,Foreign Companies,1411294171.0
2005-10-03,net,Foreign Companies,862766384.0
2005-11-03,net,Foreign Companies,-933985875.0
2005-12-03,net,Foreign Companies,-26213278.0
2006-01-03,net,Foreign Companies,-767619215.0
2006-02-03,net,Foreign Companies,-637246999.0
2006-03-03,net,Foreign Companies,990529562.0
2006-04-03,net,Foreign Companies,646250868.0
2006-05-03,net,Foreign Companies,431069373.0
2006-06-03,net,Foreign Companies,-453089275.0
2006-07-03,net,Foreign Companies,308584938.25
2006-08-03,net,Foreign Companies,-290710194.5
2006-09-03,net,Foreign Companies,-975615369.0
2006-10-03,net,Foreign Companies,652874450.0
2006-11-03,net,Foreign Companies,4598987601.5
2006-12-03,net,Foreign Companies,-1016464392.0
2007-01-03,net,Foreign Companies,-690149784.0
2007-02-03,net,Foreign Companies,658068574.0
2007-03-03,net,Foreign Companies,-244866177.0
2007-04-03,net,Foreign Companies,91925755.0
2007-05-03,net,Foreign Companies,1773771518.5
2007-06-03,net,Foreign Companies,1847978915.0
2007-07-03,net,Foreign Companies,551218492.25
2007-08-03,net,Foreign Companies,2579460997.0
2007-09-03,net,Foreign Companies,516519523.0
2007-10-03,net,Foreign Companies,2150965225.0
2007-11-03,net,Foreign Companies,1709509125.0
2007-12-03,net,Foreign Companies,2758384489.0
2008-01-03,net,Foreign Companies,708760675.0
2008-02-03,net,Foreign Companies,1248605285.0
2008-03-03,net,Foreign Companies,-934093473.0
2008-04-03,net,Foreign Companies,6006159377.0
2008-05-03,net,Foreign Companies,388838399.0
2008-06-03,net,Foreign Companies,-18827764.0
2008-07-03,net,Foreign Companies,7751075890.0
2008-08-03,net,Foreign Companies,864330661.0
2008-09-03,net,Foreign Companies,1148553640.0
2008-10-03,net,Foreign Companies,-305032412.0
2008-11-03,net,Foreign Companies,-884649070.0
2008-12-03,net,Foreign Companies,270618922.0
2009-01-03,net,Foreign Companies,-83222798.75
2009-02-03,net,Foreign Companies,64105497.5
2009-03-03,net,Foreign Companies,2021005415.25
2009-04-03,net,Foreign Companies,-443113536.0
2009-05-03,net,Foreign Companies,-1605551419.0
